1AA4A817-2392-34F8-E585-750D42354359_time (s),1AA4A817-2392-34F8-E585-750D42354359_raw_resistance,1AA4A817-2392-34F8-E585-750D42354359_calibrated_angle
8.217,10.928915977478027,-1.6542772296100452
8.237,10.582036018371582,-9.865533494623236
8.257,10.582036018371582,-9.865533494623236
8.277,10.720288276672363,-6.592860362831971
8.297,10.651079177856445,-8.231160966049401
8.317,10.998793601989746,-0.000151452110117134
8.339,10.928915977478027,-1.6542772296100452
8.359,11.63536548614502,15.068620134942591
8.379,11.922794342041016,21.87256464589467
8.399,12.14022159576416,27.019448610934887
8.419,12.579925537109375,37.428011136203
8.439,13.403265953063965,56.917921035180655
8.46,14.016497611999512,71.4341886059853
8.48,14.484654426574707,82.51628048177895
8.5,15.200517654418945,99.46201706935955
8.52,15.768929481506348,112.91732070898769
8.54,1218.2894287109375,28578.68400420419
8.56,1733.77783203125,40781.19749679444
8.58,2138.5,50361.68016833244
8.6,2958.0625,69762.16017885323
8.62,2357.050048828125,55535.14266031857
8.64,2483.578857421875,58530.301201464674
8.66,1455.53125,34194.61349289846
8.68,976.0,22843.26880589163
8.701,13.708333015441895,64.13939279057615
8.721,12.876712799072266,44.45348551196844
8.742,12.65384578704834,39.17783293907172
8.762,12.286067008972168,30.471865020382722
8.782,12.14022159576416,27.019448610934887
8.802,12.067567825317383,25.299606596150568
8.825,11.63536548614502,15.068620134942591
8.845,11.63536548614502,15.068620134942591
8.865,11.63536548614502,15.068620134942591
8.885,11.42162799835205,10.00907939286816
8.909,11.209443092346191,4.986290981367006
8.929,11.279999732971191,6.656490259707368
8.949,11.139057159423828,3.32013265337838
8.969,11.068840980529785,1.6579927005998911
8.989,11.139057159423828,3.32013265337838
9.009,10.928915977478027,-1.6542772296100452
9.031,11.279999732971191,6.656490259707368
9.051,11.778728485107422,18.46227345072805
9.071,11.922794342041016,21.87256464589467
9.091,12.579925537109375,37.428011136203
9.111,13.176470756530762,51.54928145391074
9.131,13.708333015441895,64.13939279057615
9.151,14.24968147277832,76.95405906103338
9.171,14.563380241394043,84.37985842332034
9.194,15.120155334472656,97.55970018478143
9.214,15.361867904663086,103.28146013142498
9.234,15.687092781066895,110.98010265544991
9.256,1956.375,46050.462388216714
9.276,2357.050048828125,55535.14266031857
9.297,2624.166748046875,61858.2628417198
9.317,2242.571533203125,52825.235662356965
9.337,976.0,22843.26880589163
9.357,525.3928833007812,12176.609020797028
9.377,14.016497611999512,71.4341886059853
9.397,13.101249694824219,49.76866715785894
9.417,12.876712799072266,44.45348551196844
9.437,12.067567825317383,25.299606596150568
9.457,12.067567825317383,25.299606596150568
9.477,11.850672721862793,20.16531956013978
9.497,11.42162799835205,10.00907939286816
9.517,11.42162799835205,10.00907939286816
9.537,11.209443092346191,4.986290981367006
9.557,11.139057159423828,3.32013265337838
9.577,11.42162799835205,10.00907939286816
9.599,11.922794342041016,21.87256464589467
9.619,13.026217460632324,47.992522739849846
9.639,934.244873046875,21854.85180805332
9.659,15.200517654418945,99.46201706935955
9.679,15.850980758666992,114.8596181693922
9.699,15.281087875366211,101.36925533481298
9.719,14.484654426574707,82.51628048177895
9.739,14.17175579071045,75.10942166331944
9.759,13.6317777633667,62.327195871384276
9.779,12.876712799072266,44.45348551196844
9.799,12.579925537109375,37.428011136203
9.819,12.14022159576416,27.019448610934887
9.841,12.213054656982422,28.743534752345624
9.861,12.14022159576416,27.019448610934887
9.881,12.286067008972168,30.471865020382722
9.904,12.286067008972168,30.471865020382722
9.924,11.995092391967773,23.583986132851066
9.944,11.995092391967773,23.583986132851066
9.964,12.14022159576416,27.019448610934887
9.984,12.213054656982422,28.743534752345624
10.004,11.778728485107422,18.46227345072805
10.024,11.563946723937988,13.378012928568921
10.044,11.563946723937988,13.378012928568921
10.064,11.492700576782227,11.691491822830187
10.084,11.068840980529785,1.6579927005998911
10.104,11.279999732971191,6.656490259707368
10.124,11.350728034973145,8.330753063541067
10.145,11.279999732971191,6.656490259707368
10.186,11.068840980529785,1.6579927005998911
10.206,11.139057159423828,3.32013265337838
10.226,11.209443092346191,4.986290981367006
10.248,11.209443092346191,4.986290981367006
10.268,10.928915977478027,-1.6542772296100452
10.308,11.068840980529785,1.6579927005998911
10.335,10.789663314819336,-4.950631684970972
10.375,11.068840980529785,1.6579927005998911
10.395,11.068840980529785,1.6579927005998911
10.416,11.068840980529785,1.6579927005998911
10.436,10.859206199645996,-3.304429782183149
10.456,11.068840980529785,1.6579927005998911
10.476,,
10.496,,
